gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3711820311	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/3/022b914a-7d95-43d9-b650-298e9804a3d1_image.jpg										© All rights reserved	Helge Berge
3704162323	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/3/b9ebfa81-aef3-43ef-83f3-b2929c85d5f6_image.jpg										© All rights reserved	Odd Rune Einmo
3469559402	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/6eb004d0-4b5a-405c-9615-744e71a5b0cb_image.jpg										© All rights reserved	Helge Berge
3469559402	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/8fc34cd7-20b9-41ae-86f9-a55014c9d98a_image.jpg										© All rights reserved	Helge Berge
3469559402	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/cf2c685d-1c12-4bb2-8254-245f782a7d63_image.jpg										© All rights reserved	Helge Berge
3469529398	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/faf77d6b-ef39-4a0d-91ff-0762746b305f_image.jpg										© All rights reserved	Siri Sofie Børseth
3469512391	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/647139b0-2e57-4660-bdda-f844686efa41_image.jpg										© All rights reserved	Siri Sofie Børseth
3469461343	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/f7e9fe80-dd29-46db-9033-5c145d72cc73_image.jpg										© All rights reserved	Helge Berge
3469451425	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/4710f9a5-e6c4-4907-95e1-b1083f860f7d_image.jpg			Ringmerket. JUY51							© All rights reserved	Bjørn Schjølberg
3465498468	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/656b7e93-9291-46fa-b7e9-749d33b0f98d_image.jpg										http://creativecommons.org/licenses/by/4.0/	Are Nakrem
